val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,Sample,Accuracy
0.5947265625,0.8798828125,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.4443359375,600,0.6666666666666666
0.5947265625,0.2216796875,0.0361328125,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.4443359375,600,0.6666666666666666
0.5947265625,0.2216796875,0.3935546875,0.5087890625,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.4443359375,600,0.6666666666666666
0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.5185546875,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.4443359375,600,0.675
0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.9951171875,0.1708984375,0.7744140625,0.6259765625,0.4443359375,600,0.6583333333333333
0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.0947265625,0.7744140625,0.6259765625,0.4443359375,600,0.6666666666666666
0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.9697265625,0.6259765625,0.4443359375,600,0.6666666666666666
0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.8662109375,0.4443359375,600,0.6666666666666666
0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.8505859375,600,0.6666666666666666
0.2099609375,0.8798828125,0.0361328125,0.5087890625,0.5185546875,0.9951171875,0.0947265625,0.9697265625,0.8662109375,0.8505859375,600,0.6666666666666666
0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.9443359375,600,0.6666666666666666
0.7099609375,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.9443359375,600,0.6666666666666666
0.0947265625,0.3798828125,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.9443359375,600,0.6666666666666666
0.0947265625,0.7216796875,0.5361328125,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.9443359375,600,0.675
0.0947265625,0.7216796875,0.8935546875,0.0087890625,0.4052734375,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.9443359375,600,0.6666666666666666
0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.0185546875,0.5322265625,0.6708984375,0.2744140625,0.1259765625,0.9443359375,600,0.6666666666666666
0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.4951171875,0.6708984375,0.2744140625,0.1259765625,0.9443359375,600,0.6666666666666666
0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.5947265625,0.2744140625,0.1259765625,0.9443359375,600,0.675
0.0947265625,0.7216796875,0.8935546875,0.5517578125,0.4052734375,0.5322265625,0.6708984375,0.4697265625,0.1259765625,0.9443359375,600,0.6666666666666666
