Input,Threshold,Accuracy
0.6,0.05,0.7616279069767442
0.7000000000000001,0.05,0.7732558139534884
0.8,0.05,0.7790697674418605
0.9,0.05,0.7674418604651163
1.0,0.05,0.7732558139534884
0.1,0.052000000000000005,0.0
0.2,0.052000000000000005,0.23255813953488372
0.30000000000000004,0.052000000000000005,0.38953488372093026
0.4,0.052000000000000005,0.5813953488372093
0.5,0.052000000000000005,0.6976744186046512
0.6,0.052000000000000005,0.7616279069767442
0.7000000000000001,0.052000000000000005,0.7674418604651163
0.8,0.052000000000000005,0.7732558139534884
0.9,0.052000000000000005,0.7732558139534884
1.0,0.052000000000000005,0.7732558139534884
0.1,0.054000000000000006,0.0
0.2,0.054000000000000006,0.23255813953488372
0.30000000000000004,0.054000000000000006,0.38953488372093026
0.4,0.054000000000000006,0.5755813953488372
0.5,0.054000000000000006,0.6918604651162791
0.6,0.054000000000000006,0.7616279069767442
0.7000000000000001,0.054000000000000006,0.7616279069767442
0.8,0.054000000000000006,0.7674418604651163
0.9,0.054000000000000006,0.7732558139534884
1.0,0.054000000000000006,0.7616279069767442
0.1,0.056,0.0
0.2,0.056,0.23255813953488372
0.30000000000000004,0.056,0.3953488372093023
0.4,0.056,0.5755813953488372
0.5,0.056,0.6918604651162791
0.6,0.056,0.7616279069767442
0.7000000000000001,0.056,0.7616279069767442
0.8,0.056,0.7616279069767442
0.9,0.056,0.7616279069767442
1.0,0.056,0.7616279069767442
0.1,0.058,0.0
0.2,0.058,0.23255813953488372
0.30000000000000004,0.058,0.3953488372093023
0.4,0.058,0.5697674418604651
0.5,0.058,0.686046511627907
0.6,0.058,0.7616279069767442
0.7000000000000001,0.058,0.7558139534883721
0.8,0.058,0.7616279069767442
0.9,0.058,0.7616279069767442
1.0,0.058,0.7616279069767442
0.1,0.060000000000000005,0.0
0.2,0.060000000000000005,0.23255813953488372
0.30000000000000004,0.060000000000000005,0.3953488372093023
0.4,0.060000000000000005,0.5697674418604651
0.5,0.060000000000000005,0.6802325581395349
0.6,0.060000000000000005,0.7558139534883721
0.7000000000000001,0.060000000000000005,0.7441860465116279
0.8,0.060000000000000005,0.7441860465116279
0.9,0.060000000000000005,0.7616279069767442
1.0,0.060000000000000005,0.7616279069767442
0.1,0.062,0.0
0.2,0.062,0.20930232558139536
0.30000000000000004,0.062,0.3953488372093023
0.4,0.062,0.563953488372093
0.5,0.062,0.6744186046511628
0.6,0.062,0.7441860465116279
0.7000000000000001,0.062,0.7441860465116279
0.8,0.062,0.7441860465116279
0.9,0.062,0.7616279069767442
1.0,0.062,0.7616279069767442
0.1,0.064,0.0
0.2,0.064,0.20348837209302326
0.30000000000000004,0.064,0.3953488372093023
0.4,0.064,0.563953488372093
0.5,0.064,0.6686046511627907
0.6,0.064,0.7325581395348837
0.7000000000000001,0.064,0.7441860465116279
0.8,0.064,0.7441860465116279
0.9,0.064,0.7558139534883721
1.0,0.064,0.75
0.1,0.066,0.0
0.2,0.066,0.20348837209302326
0.30000000000000004,0.066,0.37209302325581395
0.4,0.066,0.563953488372093
0.5,0.066,0.5813953488372093
0.6,0.066,0.7267441860465116
0.7000000000000001,0.066,0.7441860465116279
0.8,0.066,0.7441860465116279
0.9,0.066,0.7558139534883721
